,experiment type,service top@1,service top@2,service top@3,service top@4,service top@5,instance top@1,instance top@2,instance top@3,instance top@4,instance top@5,weighted precision,weighted recall,weighted f1score,micro precision,micro recall,micro f1score,macro precision,macro recall,macro f1score
0,remove none,0.5697674418604651,0.7558139534883721,0.813953488372093,0.8953488372093024,0.9069767441860465,0.5697674418604651,0.5697674418604651,0.7441860465116279,0.7558139534883721,0.813953488372093,0.7325564214635218,0.6744186046511628,0.701486387366786,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.4288120567375887,0.39875222816399286,0.41126777983920837
1,[cpu],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.1111111111111111,0.02222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.5,0.09999999999999999
2,[io],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31640625,0.5625,0.40499999999999997,0.5625,0.5625,0.5625,0.28125,0.5,0.36
3,[memory],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30864197530864196,0.5555555555555556,0.39682539682539686,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.5,0.35714285714285715
4,[network],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8370303304662744,0.9148936170212766,0.8742316784869977,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.4574468085106383,0.5,0.4777777777777778
5,[process],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,remove log,0.5697674418604651,0.7209302325581395,0.8372093023255814,0.8488372093023255,0.872093023255814,0.5697674418604651,0.5697674418604651,0.7209302325581395,0.7209302325581395,0.8372093023255814,0.8413051844521414,0.7441860465116279,0.7810963455149502,0.7441860465116279,0.7441860465116279,0.7441860465116278,0.5315011820330969,0.4938725490196078,0.49176190476190473
7,remove metric,0.43023255813953487,0.6395348837209303,0.7325581395348837,0.8255813953488372,0.8953488372093024,0.43023255813953487,0.43023255813953487,0.6395348837209303,0.6395348837209303,0.7209302325581395,0.6396482764308098,0.5697674418604651,0.6000903138405961,0.5697674418604651,0.5697674418604651,0.5697674418604651,0.30067966903073284,0.3011904761904762,0.2981229773462783
8,remove trace,0.37209302325581395,0.5348837209302325,0.7093023255813954,0.7674418604651163,0.7674418604651163,0.37209302325581395,0.37209302325581395,0.5348837209302325,0.5348837209302325,0.6976744186046512,0.7122093023255814,0.627906976744186,0.6562226983400591,0.627906976744186,0.627906976744186,0.627906976744186,0.3826241134751773,0.36198919284025666,0.3583545845544856
9,"remove log,metric",0.5116279069767442,0.627906976744186,0.7209302325581395,0.7790697674418605,0.872093023255814,0.5116279069767442,0.5116279069767442,0.627906976744186,0.627906976744186,0.7209302325581395,0.7928950876903623,0.6395348837209303,0.7031360112755461,0.6395348837209303,0.6395348837209303,0.6395348837209303,0.3262115839243499,0.35342333654773384,0.31212121212121213
10,"remove log,trace",0.3372093023255814,0.5116279069767442,0.6395348837209303,0.686046511627907,0.7325581395348837,0.3372093023255814,0.3372093023255814,0.5116279069767442,0.5116279069767442,0.6395348837209303,0.4841044037605146,0.5232558139534884,0.49811775924397256,0.5232558139534884,0.5232558139534884,0.5232558139534884,0.3487588652482269,0.3609190809190809,0.3508567931456549
11,"remove metric,trace",0.09302325581395349,0.22093023255813954,0.32558139534883723,0.4186046511627907,0.46511627906976744,0.08139534883720931,0.08139534883720931,0.19767441860465115,0.19767441860465115,0.29069767441860467,0.3618004013414701,0.37209302325581395,0.3588326144800302,0.37209302325581395,0.37209302325581395,0.3720930232558139,0.2932505910165485,0.33571610184882494,0.29673190123318
